Cap waktu,Nama/inisial,Nomor Induk Mahasiswa (NIM) ,Angkatan,Jenis Kelamin,  Berapa rata-rata durasi Anda menggunakan media sosial dalam sehari?  ,Seberapa sering Anda membuka media sosial dalam satu hari? ,Pada waktu kapan Anda paling sering mengakses media sosial? ,Platform media sosial apa yang paling sering Anda gunakan? ,Apakah Anda sering mengecek notifikasi media sosial saat sedang belajar/mengerjakan tugas?  ,Saya sering menunda waktu untuk mulai mengerjakan tugas kuliah.  ,Saya merasa malas jika harus mengerjakan tugas yang menurut saya sulit.  ,Saya sering terlambat mengumpulkan tugas karena manajemen waktu yang buruk.  ,"Saya sering membuat rencana belajar, tetapi gagal melaksanakannya.  ",Saya sering berhenti mengerjakan tugas di tengah jalan untuk melakukan aktivitas lain yang tidak berkaitan dengan tugas akademik. ,Saya butuh waktu lama untuk mengumpulkan niat sebelum mulai belajar.  ,Saya lebih memilih mengakses media sosial daripada mengerjakan tugas. ,"Saya sering merasa bersalah setelah menunda tugas, tetapi tetap mengulangi kebiasaan tersebut. ",Saya mengalihkan perhatian pada aktivitas hiburan digital ketika merasa bosan atau mengalami kesulitan saat mengerjakan tugas. ,Saya sering menunda mengerjakan tugas karena merasa masih memiliki banyak waktu sebelum batas pengumpulan tugas. ,Skor,Target
2026/06/29 06:38:59 PM GMT+7,"T. Cakrawala Utama, S.Pt",2421264647,2024,Perempuan,c. 3 - 5 Jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),b. TikTok,a. Tidak Pernah,2,3,3.0,4,1,4,2,4,3,2,28.0,Sedang
2026/06/26 08:48:11 AM GMT+7,"Tgk. Zizi Riyanti, S.Gz",2459375265,2024,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,1,2,3.0,4,2,1,1,4,1,4,23.0,Sedang
2026/06/26 09:27:39 PM GMT+7,Cut Samiah Haryanti,2441672434,2024,Perempuan,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),d. YouTube,c. Sering,2,2,1.0,2,3,2,3,1,3,4,23.0,Sedang
2026/07/02 12:07:15 AM GMT+7,Ani Palastri,2452909656,2024,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),b. TikTok,a. Tidak Pernah,3,2,4.0,2,2,3,2,4,4,1,27.0,Sedang
2026/07/02 12:02:44 AM GMT+7,Adikara Melani,2425457387,2024,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,1,3,4.0,3,2,2,1,4,3,3,26.0,Sedang
2026/06/28 01:41:39 PM GMT+7,Ir. Padma Usamah,2462266093,2024,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,a. Tidak Pernah,1,2,2.0,4,3,3,4,2,3,1,25.0,Sedang
2026/06/29 08:31:51 AM GMT+7,"Ir. Icha Haryanti, S.Pd",2469155792,2024,Perempuan,d. > 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,3,3,3.0,2,3,4,4,4,4,4,34.0,Tinggi
2026/06/26 06:57:19 AM GMT+7,Suci Permata,2482742257,2024,Perempuan,d. > 5 Jam,a. (< 5 kali),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,2,4,4.0,4,2,4,4,4,2,3,33.0,Tinggi
2026/07/01 07:41:56 PM GMT+7,Maya Sirait,2442797881,2024,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),a. Pagi hari,b. TikTok,a. Tidak Pernah,1,2,3.0,4,2,1,4,1,4,3,25.0,Sedang
2026/07/01 01:01:23 PM GMT+7,Dirja Yuliarti,2433959629,2024,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),b. TikTok,b. Jarang,2,3,2.0,3,4,2,2,2,4,1,25.0,Sedang
2026/06/29 02:38:35 AM GMT+7,Jamal Nainggolan,2422325367,2024,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,a. Tidak Pernah,1,2,2.0,2,1,4,3,4,1,1,21.0,Sedang
2026/07/01 04:26:50 AM GMT+7,"Luwes Sihotang, S.E.I",2451863637,2024,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),b. TikTok,c. Sering,2,4,3.0,3,2,4,4,2,3,3,30.0,Sedang
2026/06/28 09:11:32 PM GMT+7,"Jail Nashiruddin, M.Pd",2424241541,2024,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),b. TikTok,a. Tidak Pernah,3,4,2.0,3,3,3,4,2,4,2,30.0,Sedang
2026/07/01 02:12:22 PM GMT+7,"Dr. Ida Halim, S.H.",2471361115,2024,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),c. Twitter (X),a. Tidak Pernah,1,3,4.0,2,4,4,4,2,1,4,29.0,Sedang
2026/06/28 09:50:33 PM GMT+7,Titi Nasyidah,2412196565,2024,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),a. Instagram,a. Tidak Pernah,3,1,3.0,1,1,3,1,3,3,2,21.0,Sedang
2026/06/30 12:32:23 PM GMT+7,drg. Anastasia Tarihoran,2437918055,2024,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),a. Instagram,a. Tidak Pernah,4,4,3.0,3,4,3,4,2,3,4,34.0,Tinggi
2026/06/27 02:28:46 PM GMT+7,Genta Hastuti,2461889241,2024,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),b. TikTok,c. Sering,2,4,2.0,3,2,1,2,3,4,4,27.0,Sedang
2026/06/28 08:18:27 AM GMT+7,Cinthia Safitri,2442102027,2024,Perempuan,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),e. WhatsApp,b. Jarang,1,3,1.0,2,4,2,4,3,2,4,26.0,Sedang
2026/07/01 12:26:58 PM GMT+7,Prabawa Halim,2450792524,2024,Perempuan,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),a. Instagram,b. Jarang,4,3,3.0,4,1,3,2,3,2,2,27.0,Sedang
2026/06/26 02:42:10 PM GMT+7,Nabila Susanti,2436541951,2024,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),d. YouTube,d. Selalu,3,2,3.0,2,3,1,4,3,3,3,27.0,Sedang
2026/06/27 08:27:07 PM GMT+7,"Eka Rahayu, S.E.",2497383206,2024,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,1,2,2.0,3,4,2,3,1,1,3,22.0,Sedang
2026/06/30 01:53:32 AM GMT+7,"Wulan Hakim, S.Gz",2438657191,2024,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,a. Tidak Pernah,3,3,2.0,1,3,2,3,4,4,1,26.0,Sedang
2026/06/30 09:50:21 AM GMT+7,"Dr. Maida Suryono, S.E.",2412775618,2024,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),c. Twitter (X),b. Jarang,1,3,2.0,2,4,2,4,2,1,4,25.0,Sedang
2026/07/01 06:37:14 AM GMT+7,"Tgk. Nalar Handayani, S.Psi",2420678831,2024,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),d. Selalu,3,4,4.0,2,2,1,4,2,4,3,29.0,Sedang
2026/06/26 01:05:22 PM GMT+7,Nova Zulaika,2415107029,2024,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,4,3,4.0,3,2,1,1,4,1,4,27.0,Sedang
2026/07/01 07:32:22 PM GMT+7,"Dr. Kartika Thamrin, S.Pd",2463838065,2024,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),b. TikTok,b. Jarang,3,2,3.0,2,4,2,3,4,3,3,29.0,Sedang
2026/07/01 12:40:48 AM GMT+7,Kamidin Sihombing,2434803965,2024,Perempuan,a. < 1 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),b. TikTok,a. Tidak Pernah,2,2,2.0,4,3,3,2,2,2,1,23.0,Sedang
2026/06/27 06:44:59 PM GMT+7,"Karta Thamrin, M.Pd",2401039308,2024,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),b. TikTok,b. Jarang,1,1,3.0,3,2,3,4,4,3,3,27.0,Sedang
2026/06/26 06:30:53 AM GMT+7,"Hilda Narpati, S.IP",2415452267,2024,Perempuan,c. 3 - 5 Jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),d. YouTube,a. Tidak Pernah,3,2,3.0,3,2,3,1,1,1,4,23.0,Sedang
2026/06/28 02:44:52 AM GMT+7,"Queen Pratiwi, S.Pt",2459391725,2024,Perempuan,c. 3 - 5 Jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),b. Jarang,1,4,1.0,4,4,3,4,3,4,3,31.0,Tinggi
2026/06/28 01:10:04 PM GMT+7,"T. Reza Yuliarti, S.Sos",2426765861,2024,Perempuan,d. > 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,1,3,3.0,3,4,4,2,3,4,1,28.0,Sedang
2026/07/01 05:17:51 PM GMT+7,"Maria Nuraini, S.I.Kom",2470629620,2024,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),a. Instagram,a. Tidak Pernah,3,3,3.0,3,3,2,4,4,3,3,31.0,Tinggi
2026/06/26 07:18:00 AM GMT+7,Fathonah Latupono,2431032417,2024,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),a. Instagram,b. Jarang,2,3,1.0,4,3,3,3,3,4,3,29.0,Sedang
2026/06/26 06:50:25 AM GMT+7,Tgk. Gambira Novitasari,2458693806,2024,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),b. TikTok,d. Selalu,2,3,1.0,2,3,2,2,2,2,3,22.0,Sedang
2026/06/28 10:46:17 PM GMT+7,"Leo Tampubolon, M.Ak",2432061632,2024,Perempuan,c. 3 - 5 Jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,2,3,3.0,4,1,2,1,4,3,4,27.0,Sedang
2026/06/30 09:18:53 AM GMT+7,Prakosa Iswahyudi,2411914856,2024,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,2,4,4.0,4,1,1,4,4,4,4,32.0,Tinggi
2026/06/29 06:37:13 PM GMT+7,Tira Hasanah,2471324754,2024,Perempuan,b. 1-3 jam,c. (11 - 20 kali),d. Tengah malam (Begadang),d. YouTube,c. Sering,2,2,4.0,3,2,3,1,4,2,4,27.0,Sedang
2026/06/28 03:45:18 AM GMT+7,Kamaria Prayoga,2430307053,2024,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,2,2,3.0,1,3,4,4,1,2,2,24.0,Sedang
2026/06/30 03:32:27 AM GMT+7,"Drs. Vero Pradipta, S.E.I",2429333346,2024,Laki - Laki,d. > 5 Jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),b. TikTok,b. Jarang,3,4,3.0,2,1,1,1,3,1,1,20.0,Rendah
2026/06/28 07:43:01 PM GMT+7,Luwar Damanik,2448969108,2024,Perempuan,a. < 1 jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),a. Instagram,b. Jarang,1,2,4.0,3,3,3,1,1,2,3,23.0,Sedang
2026/06/27 07:59:27 PM GMT+7,Gatra Adriansyah,2496520744,2024,Perempuan,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),d. YouTube,a. Tidak Pernah,2,4,2.0,2,3,2,3,3,4,2,27.0,Sedang
2026/06/27 10:38:24 PM GMT+7,Cinta Hutagalung,2472482513,2024,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),b. TikTok,b. Jarang,3,4,4.0,1,3,2,4,1,3,1,26.0,Sedang
2026/06/28 11:37:04 AM GMT+7,Gamani Rahimah,2402235697,2024,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),b. TikTok,d. Selalu,3,3,4.0,3,2,1,4,2,2,3,27.0,Sedang
2026/06/28 07:29:05 AM GMT+7,Puji Mandala,2467600835,2024,Perempuan,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,1,3,1.0,4,4,4,3,3,4,1,28.0,Sedang
2026/06/28 04:22:52 AM GMT+7,Hamima Samosir,2485625753,2024,Laki - Laki,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),e. WhatsApp,d. Selalu,3,3,4.0,3,2,2,3,2,2,4,28.0,Sedang
2026/06/28 02:14:24 AM GMT+7,"Hj. Shania Hassanah, M.Ak",2400167618,2024,Laki - Laki,d. > 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,3,2,2.0,2,3,2,3,4,4,2,27.0,Sedang
2026/06/28 09:18:18 PM GMT+7,"Hari Suwarno, S.H.",2448356420,2024,Laki - Laki,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,3,3,4.0,4,1,2,4,2,1,4,28.0,Sedang
2026/06/28 06:40:01 PM GMT+7,"dr. Edison Hidayat, M.Farm",2401204556,2024,Perempuan,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),c. Twitter (X),a. Tidak Pernah,3,2,4.0,2,1,3,2,3,3,1,24.0,Sedang
2026/06/29 03:11:36 PM GMT+7,"Jane Budiman, S.Ked",2476212021,2024,Laki - Laki,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),e. WhatsApp,c. Sering,2,3,2.0,2,1,3,2,3,3,3,24.0,Sedang
2026/06/29 07:36:30 AM GMT+7,Devi Pertiwi,2489935889,2024,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,c. Sering,1,2,1.0,3,2,3,2,2,1,3,20.0,Rendah
2026/06/28 05:41:09 PM GMT+7,Ir. Ilsa Latupono,2440838663,2024,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,4,4,3.0,4,4,1,2,2,1,4,29.0,Sedang
2026/06/27 10:42:49 AM GMT+7,Paiman Mangunsong,2475503758,2024,Perempuan,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),b. TikTok,b. Jarang,1,3,4.0,2,2,1,3,3,1,4,24.0,Sedang
2026/06/26 04:10:04 AM GMT+7,Rina Yulianti,2414933163,2024,Laki - Laki,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),b. TikTok,d. Selalu,1,2,2.0,4,2,2,4,4,3,3,27.0,Sedang
2026/06/28 09:25:31 AM GMT+7,Aurora Saputra,2482922169,2024,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),d. Tengah malam (Begadang),a. Instagram,a. Tidak Pernah,3,2,4.0,3,2,3,1,1,3,1,23.0,Sedang
2026/06/27 05:10:43 PM GMT+7,"Tgk. Virman Wahyudin, S.Sos",2483339452,2024,Perempuan,b. 1-3 jam,a. (< 5 kali),d. Tengah malam (Begadang),a. Instagram,c. Sering,3,3,4.0,4,2,4,1,2,4,1,28.0,Sedang
2026/07/01 11:50:29 AM GMT+7,Sutan Darmanto,2562003424,2025,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,c. Sering,2,2,2.0,2,3,3,1,4,3,2,24.0,Sedang
2026/06/26 06:11:48 PM GMT+7,Gabriella Zulaika,2506665800,2025,Perempuan,c. 3 - 5 Jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),b. TikTok,b. Jarang,2,4,4.0,2,2,3,1,3,3,1,25.0,Sedang
2026/07/01 10:44:43 PM GMT+7,"H. Pandu Narpati, S.Sos",2581606484,2025,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,b. Jarang,3,3,3.0,1,2,1,3,4,3,2,25.0,Sedang
2026/06/29 11:42:19 AM GMT+7,Naradi Nababan,2581826886,2025,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),b. TikTok,b. Jarang,1,2,1.0,2,1,3,1,4,1,4,20.0,Rendah
2026/06/27 08:53:47 PM GMT+7,"R.M. Putu Astuti, M.Kom.",2556164840,2025,Perempuan,d. > 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),b. TikTok,b. Jarang,4,3,4.0,1,4,2,3,3,4,2,30.0,Sedang
2026/06/30 06:28:37 AM GMT+7,"R.M. Wasis Ardianto, M.TI.",2513861207,2025,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,b. Jarang,1,1,4.0,4,3,4,3,3,4,2,29.0,Sedang
2026/07/01 04:19:28 AM GMT+7,Hj. Elvina Gunawan,2515814491,2025,Laki - Laki,a. < 1 jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,b. Jarang,3,4,2.0,1,4,1,3,1,1,1,21.0,Sedang
2026/06/26 04:55:55 PM GMT+7,Jessica Wijayanti,2582100996,2025,Laki - Laki,a. < 1 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),c. Twitter (X),c. Sering,2,4,4.0,3,4,2,4,3,2,1,29.0,Sedang
2026/06/27 01:14:55 PM GMT+7,"Hj. Lala Nasyiah, S.IP",2514141397,2025,Perempuan,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),e. WhatsApp,b. Jarang,3,2,4.0,2,2,3,3,2,1,3,25.0,Sedang
2026/06/29 08:06:16 PM GMT+7,Among Haryanti,2564525777,2025,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),a. Instagram,d. Selalu,4,3,4.0,3,1,3,4,3,3,3,31.0,Tinggi
2026/06/27 09:30:41 AM GMT+7,Bagiya Handayani,2593084887,2025,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),b. TikTok,d. Selalu,3,2,3.0,4,4,3,2,1,2,2,26.0,Sedang
2026/06/30 01:46:19 PM GMT+7,Balidin Puspasari,2599275037,2025,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),b. TikTok,a. Tidak Pernah,2,1,1.0,3,2,3,2,4,4,2,24.0,Sedang
2026/06/27 10:20:19 AM GMT+7,Harsana Waskita,2566591846,2025,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),b. TikTok,a. Tidak Pernah,4,3,1.0,4,4,4,4,3,4,4,35.0,Tinggi
2026/07/01 06:42:04 AM GMT+7,Teguh Adriansyah,2551777392,2025,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,b. Jarang,2,1,3.0,3,1,4,3,1,2,1,21.0,Sedang
2026/06/26 06:04:12 AM GMT+7,Panca Nasyidah,2513797723,2025,Perempuan,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),e. WhatsApp,a. Tidak Pernah,3,4,4.0,4,3,3,3,3,4,1,32.0,Tinggi
2026/06/27 06:29:38 AM GMT+7,Titin Saefullah,2529127990,2025,Perempuan,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),a. Instagram,d. Selalu,2,3,1.0,2,3,4,2,2,3,1,23.0,Sedang
2026/06/28 03:33:53 PM GMT+7,"R. Irnanto Usada, S.E.",2591624731,2025,Laki - Laki,d. > 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),a. Instagram,a. Tidak Pernah,2,3,3.0,2,2,4,3,3,2,3,27.0,Sedang
2026/06/27 02:20:07 PM GMT+7,"Mahfud Adriansyah, S.Farm",2594636887,2025,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),a. Pagi hari,b. TikTok,a. Tidak Pernah,2,3,1.0,3,4,2,2,3,3,2,25.0,Sedang
2026/06/27 08:11:47 AM GMT+7,Ir. Karya Natsir,2502601279,2025,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,c. Sering,4,4,4.0,2,2,2,2,2,3,3,28.0,Sedang
2026/06/26 11:38:18 AM GMT+7,Ir. Chelsea Setiawan,2509883920,2025,Laki - Laki,b. 1-3 jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,c. Sering,1,2,3.0,3,2,2,3,2,3,4,25.0,Sedang
2026/06/29 07:41:52 PM GMT+7,"Luwar Nashiruddin, S.Gz",2537690426,2025,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,c. Sering,3,2,2.0,3,3,4,3,3,3,2,28.0,Sedang
2026/06/26 12:58:53 PM GMT+7,"Jelita Maryati, S.Psi",2507141633,2025,Perempuan,c. 3 - 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),a. Instagram,b. Jarang,3,2,2.0,4,3,3,3,3,3,3,29.0,Sedang
2026/06/26 05:56:32 AM GMT+7,Tira Kuswandari,2537333433,2025,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,d. Selalu,1,4,2.0,2,3,3,3,4,3,1,26.0,Sedang
2026/06/27 07:25:19 PM GMT+7,"Malik Gunawan, S.T.",2584639208,2025,Perempuan,b. 1-3 jam,b. (5 - 10 kali),d. Tengah malam (Begadang),b. TikTok,a. Tidak Pernah,3,1,2.0,4,2,3,4,4,4,4,31.0,Tinggi
2026/06/29 10:21:14 PM GMT+7,Amelia Dongoran,2534795527,2025,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,2,1,2.0,2,2,2,3,2,4,2,22.0,Sedang
2026/06/26 11:25:39 PM GMT+7,Viman Manullang,2502672885,2025,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),b. TikTok,a. Tidak Pernah,3,4,4.0,2,3,4,3,4,1,3,31.0,Tinggi
2026/07/01 02:49:08 PM GMT+7,"Luwar Wibowo, M.Ak",2593998245,2025,Laki - Laki,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),d. Tengah malam (Begadang),e. WhatsApp,a. Tidak Pernah,2,1,1.0,2,1,4,1,4,1,3,20.0,Rendah
2026/06/29 08:36:10 PM GMT+7,Sadina Waskita,2544964759,2025,Laki - Laki,b. 1-3 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),e. WhatsApp,b. Jarang,3,4,2.0,3,3,3,2,4,4,2,30.0,Sedang
2026/06/28 01:50:14 AM GMT+7,Pangeran Mardhiyah,2592164334,2025,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,c. Sering,4,1,4.0,1,1,1,4,1,3,4,24.0,Sedang
2026/06/28 07:08:50 AM GMT+7,"Cici Namaga, S.I.Kom",2596884578,2025,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),d. Tengah malam (Begadang),e. WhatsApp,b. Jarang,2,4,3.0,3,3,1,3,2,4,2,27.0,Sedang
2026/06/29 08:41:40 AM GMT+7,Cut Hana Maheswara,2508536866,2025,Laki - Laki,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),e. WhatsApp,b. Jarang,2,2,2.0,2,2,3,1,4,4,3,25.0,Sedang
2026/07/01 10:48:12 PM GMT+7,R. Farhunnisa Rahayu,2517974973,2025,Laki - Laki,c. 3 - 5 Jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),d. YouTube,b. Jarang,3,2,3.0,3,4,3,3,2,3,4,30.0,Sedang
2026/06/27 02:35:25 AM GMT+7,"Dr. Elvin Prabowo, M.Ak",2520461872,2025,Laki - Laki,d. > 5 Jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),e. WhatsApp,a. Tidak Pernah,3,4,4.0,2,4,4,1,4,1,4,31.0,Tinggi
2026/06/26 05:57:10 PM GMT+7,"Zulfa Safitri, S.E.",2520881474,2025,Laki - Laki,d. > 5 Jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,a. Tidak Pernah,3,3,3.0,3,2,3,4,2,3,4,30.0,Sedang
2026/06/30 01:41:20 AM GMT+7,R.M. Mujur Wahyuni,2571950052,2025,Perempuan,d. > 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),d. YouTube,a. Tidak Pernah,1,4,4.0,3,2,4,4,1,3,4,30.0,Sedang
2026/06/29 10:11:59 AM GMT+7,Rahayu Nashiruddin,2539285574,2025,Perempuan,b. 1-3 jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),b. TikTok,c. Sering,1,2,4.0,2,3,1,2,4,3,4,26.0,Sedang
2026/06/29 04:51:48 AM GMT+7,Lamar Waluyo,2586387829,2025,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,b. Jarang,4,3,3.0,3,4,3,1,4,3,4,32.0,Tinggi
2026/06/27 07:53:07 PM GMT+7,"Dr. Raden Mandala, S.I.Kom",2539103717,2025,Perempuan,c. 3 - 5 Jam,b. (5 - 10 kali),a. Pagi hari,b. TikTok,c. Sering,1,4,3.0,3,4,4,2,1,4,2,28.0,Sedang
2026/06/27 03:44:18 PM GMT+7,"Bala Usada, S.Gz",2583928861,2025,Perempuan,b. 1-3 jam,d. (> 20 kali / Hampir setiap saat),b. Siang hari (Istirahat kuliah),b. TikTok,b. Jarang,1,2,4.0,2,3,1,2,1,3,1,20.0,Rendah
2026/06/29 02:07:50 PM GMT+7,"Makara Prakasa, S.E.",2565939836,2025,Perempuan,a. < 1 jam,c. (11 - 20 kali),a. Pagi hari,b. TikTok,c. Sering,1,1,4.0,4,1,4,3,3,1,3,25.0,Sedang
2026/06/26 06:57:55 PM GMT+7,Wira Lestari,2588992107,2025,Laki - Laki,c. 3 - 5 Jam,b. (5 - 10 kali),d. Tengah malam (Begadang),e. WhatsApp,a. Tidak Pernah,3,2,1.0,2,2,2,4,2,2,4,24.0,Sedang
2026/07/01 08:15:11 AM GMT+7,"Drs. Parman Anggriawan, M.Pd",2509610556,2025,Laki - Laki,d. > 5 Jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),a. Instagram,a. Tidak Pernah,3,4,4.0,3,4,4,4,4,4,3,37.0,Tinggi
